Word,Class,isLessRelateOf,isRelateOf,isSynonymOf,isTheSameAs,Name,Info,Birthday,DateOfDeath,Education,Field,Nationality,PublicationDate
algorithm,Object,"hiệu_quả,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,google,liên_tục,heuristic,lập_trình,lập_trình_viên,công_cụ,lặp,halmiton,swap,đảo_ngược,backtracking,loop,euler,graph,đồ_thị_vô_hướng,theory,embed,cấu_trúc_dữ_liệu,classification,dữ_liệu,function,đồ_thị,nlp,ai,AI,microsoft,framework,matlab","tham_lam,rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear","thuật_giải,giải_thuật,thuật_toán,algorithms",algorithms,algorithm,"Thuật toán (tiếng Anh: Algorithm) , còn gọi là giải thuật, là một tập hợp hữu hạn của các chỉ thị hay phương cách được định nghĩa rõ ràng cho việc hoàn tất một số sự việc từ một trạng thái ban đầu cho trước; khi các chỉ thị này được áp dụng triệt để thì sẽ dẫn đến kết quả sau cùng như đã dự đoán trước. Nói cách khác, thuật toán là một bộ các quy tắc hay quy trình cụ thể nhằm giải quyết một vấn đề trong một số bước hữu hạn, hoặc nhằm cung cấp một kết quả từ một tập hợp của các dữ kiện đưa vào.",,,,,,
hiệu_quả,Other,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,tối_ưu_hóa,algorithms",rời_rạc,,,hiệu quả,,,,,,,
khoa_học_máy_tính,Object,"algorithm,thuật_giải,giải_thuật,thuật_toán,hiệu_quả,richard_bellman,bellman,thiết_kế,tối_ưu_hóa,search,tìm_kiếm,natural_language_processing,google,nlp,theory,heuristic,AI,train,chiến_lược,dữ_liệu,kĩ_thuật,euler,graph,đồ_thị_vô_hướng,lập_trình_viên,function,đồ_thị,ai,công_cụ,microsoft,framework,matlab,tài_liệu,thuật_ngữ,chuỗi,algorithms","cấu_trúc_dữ_liệu,quy_hoạch_động,rời_rạc,truy_hồi,ai,lý_thuyết_trò_chơi,parallel,thông_minh,neighbor,classification,lý_thuyết_đồ_thị,donald_knuth,linear,nlp,AI,natural_language_processing",computer_science,,khoa học máy tính,Khoa học máy tính (tiếng Anh: computer science) là ngành nghiên cứu các cơ sở lý thuyết về thông tin và tính toán cùng sự thực hiện và ứng dụng của chúng trong các hệ thống máy tính.,,,,,,
search,Other,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,graph,đồ_thị,tối_ưu_hóa,luật,sự_kiện,natural_language_processing,google,sort,java,windows,string,loop,classification,euler,đồ_thị_vô_hướng,theory,nlp,ai,AI,công_cụ,microsoft,framework,matlab,acm,cú_pháp,lập_trình_viên,algorithms","truy_hồi,lặp,công_cụ,query,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,halmiton,backtracking,google,microsoft,framework,matlab",tìm_kiếm,,search,,,,,,,
tìm_kiếm,Other,"algorithm,thuật_giải,giải_thuật,thuật_toán,khoa_học_máy_tính,natural_language_processing,google,tối_ưu_hóa,AI,lý_thuyết_trò_chơi,function,kĩ_thuật,nlp,ai,công_cụ,microsoft,framework,matlab,algorithms","tìm_kiếm_nhị_phân,truy_hồi,heuristic",search,,tìm kiếm,,,,,,,
natural_language_processing,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,quy_hoạch_động,bộ_nhớ,cấu_trúc_dữ_liệu,hằng_số,var,chuỗi,query,string,function,rời_rạc,dữ_liệu,tối_ưu_hóa,google,công_cụ,microsoft,optimize,luật,rời_rạc_hóa,framework,matlab,oop,lý_thuyết_trò_chơi,parallel,neighbor,classification,lý_thuyết_đồ_thị,donald_knuth,linear,kĩ_thuật,dataset,algorithms","khoa_học_máy_tính,chuỗi,truy_hồi,heuristic,ai,thông_minh,thuật_ngữ,tài_liệu,nlp,AI","nlp,ai,artificial_intelligence,AI,trí_tuệ_nhân_tạo","nlp,ai,AI",nlp,Xử lý ngôn ngữ tự nhiên (natural language processing - NLP) là một nhánh của trí tuệ nhân tạo tập trung vào các ứng dụng trên ngôn ngữ của con người. Trong trí tuệ nhân tạo thì xử lý ngôn ngữ tự nhiên là một trong những phần khó nhất vì nó liên quan đến việc phải hiểu ý nghĩa ngôn ngữ-công cụ hoàn hảo nhất của tư duy và giao tiếp.,,,,,,
google,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,lập_trình,bảo_mật,query,nlp,truy_hồi,công_cụ,ai,tài_liệu,AI,microsoft,java,windows,lặp,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,halmiton,backtracking,donald_knuth,tuple,lỗi_cú_pháp,lập_trình_hướng_đối_tượng,protocol,compiler,framework,matlab,algorithms","search,truy_hồi,công_cụ,java,windows,lập_trình_viên,cú_pháp,microsoft,framework,matlab",,"công_cụ,microsoft,framework,matlab",google,"MATLAB là phần mềm cung cấp môi trường tính toán số và lập trình, do công ty MathWorksthiết kế. MATLAB cho phép tính toán số với ma trận, vẽ đồ thị hàm số hay biểu đồ thông tin, thực hiện thuật toán, tạo các giao diện người dùng và liên kết với những chương trình máy tính viết trên nhiều ngôn ngữ lập trình khác",,,,,,
liên_tục,Other,"algorithm,thuật_giải,giải_thuật,rời_rạc,heuristic,algorithms",tối_ưu_hóa,,,liên tục,"Có nhiều định nghĩa về hàm liên tục. Định nghĩa theo giới hạn của hàm là: Cho dãy {\displaystyle (x_{n})_{n\in \mathbb {N} }} {\displaystyle (x_{n})_{n\in \mathbb {N} }} bất kì trên miền xác định hội tụ về {\displaystyle c} c, thì tương ứng dãy {\displaystyle (f(x_{n}))_{n\in \mathbb {N} }} {\displaystyle (f(x_{n}))_{n\in \mathbb {N} }} hội tụ về {\displaystyle f(c)} {\displaystyle f(c)}",,,,,,
heuristic,Object,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,liên_tục,tìm_kiếm_nhị_phân,chuỗi,đầu_vào,rời_rạc,truy_hồi,thông_minh,thuật_ngữ,tài_liệu,theory,phân_hoạch,linear,mã_băm,swap,tham_số,ánh_xạ,truy_nhập,xóa_đỉnh,classification,tuple,algorithms","tìm_kiếm,natural_language_processing,nlp,function,tối_ưu_hóa,AI,lý_thuyết_trò_chơi,kĩ_thuật,ai",,,heuristic,"Heuristic là các kỹ thuật dựa trên kinh nghiệm để giải quyết vấn đề, học hỏi hay khám phá nhằm đưa ra một giải pháp mà không được đảm bảo là tối ưu. Với việc nghiên cứu khảo sát không có tính thực tế, các phương pháp heuristic được dùng nhằm tăng nhanh quá trình tìm kiếm với các giải pháp hợp lý thông qua các suy nghĩ rút gọn để giảm bớt việc nhận thức vấn đề khi đưa ra quyết định. Ví dụ của phương pháp này bao gồm sử dụng một luật ngón tay cái, giả thuyết, phán đoán trực giác, khuôn mẫu hay nhận thức thông thường.",,,,,,
lập_trình,Object,"algorithm,thuật_giải,giải_thuật,google,lập_trình_viên,công_cụ,microsoft,framework,matlab,algorithms",java,,,lập trình,"Lập trình máy tính hay lập chương trình máy tính thường gọi tắt là lập trình (tiếng Anh: Computer programming, thường gọi tắt là programming) là việc lập ra chương trình làm việc cho máy có bộ xử lý, nói riêng là máy tính, để thực thi nhiệm vụ xử lý thông tin nào đó.",,,,,,
lập_trình_viên,,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,lập_trình,ctdl,dữ_liệu,truy_hồi,windows,lỗi_cú_pháp,compiler,lập_trình_hướng_đối_tượng,protocol,kĩ_thuật,algorithms","google,công_cụ,microsoft,java,cú_pháp,matlab,donald_knuth,tuple,framework",,,lập trình viên,,,,,,,
công_cụ,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,lập_trình,bảo_mật,query,nlp,truy_hồi,ai,tài_liệu,AI,microsoft,java,windows,lặp,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,halmiton,backtracking,donald_knuth,tuple,lỗi_cú_pháp,lập_trình_hướng_đối_tượng,protocol,compiler,framework,matlab,algorithms,google","search,truy_hồi,java,windows,lập_trình_viên,cú_pháp,microsoft,framework,matlab,google",,"microsoft,framework,matlab,google",google,"MATLAB là phần mềm cung cấp môi trường tính toán số và lập trình, do công ty MathWorksthiết kế. MATLAB cho phép tính toán số với ma trận, vẽ đồ thị hàm số hay biểu đồ thông tin, thực hiện thuật toán, tạo các giao diện người dùng và liên kết với những chương trình máy tính viết trên nhiều ngôn ngữ lập trình khác",,,,,,
lặp,Other,"algorithm,thuật_giải,giải_thuật,google,công_cụ,query,truy_hồi,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,halmiton,backtracking,microsoft,framework,matlab,swap,đảo_ngược,algorithms","search,sort",loop,,lặp,Vòng lặp là một loại câu lệnh điều khiển dòng xử lý của máy tính. Vòng lặp for là để thực hiện lặp đi lặp lại một tập hợp các câu lệnh nào đó với điều kiện cụ thể.,,,,,,
halmiton,Entity,"algorithm,thuật_giải,giải_thuật,google,công_cụ,lặp,cây,tree,query,truy_hồi,microsoft,framework,matlab,bfs,backtracking,dfs,insert,dijsktra,neighbor,lý_thuyết_đồ_thị,vertex,liên_thông,trạng_thái,swap,đảo_ngược,algorithms","search,graph,sort",,,halmiton,"Đường đi Hamilton có nguồn gốc từ bài toán: ""Xuất phát từ một đỉnh của khối thập nhị diện đều hãy đi dọc theo các cạnh của khối đó sao cho đi qua tất cả các đỉnh khác, mỗi đỉnh đúng một lần sau đó quay về đỉnh xuất phát."" là gọi theo tên của William Rowan Hamilton phát biểu vào năm 1859.",,,,,,
swap,Entity,"algorithm,thuật_giải,giải_thuật,heuristic,lặp,halmiton,đầu_vào,mã_băm,phân_hoạch,dijsktra,linear,đảo_ngược,tham_số,ánh_xạ,truy_nhập,algorithms","function,sort",hoán_vị,,swap,,,,,,,
đảo_ngược,Entity,"algorithm,thuật_giải,giải_thuật,lặp,halmiton,swap,dijsktra,algorithms",sort,,,đảo ngược,,,,,,,
backtracking,Entity,"algorithm,thuật_giải,giải_thuật,google,công_cụ,lặp,halmiton,cây,tree,query,truy_hồi,loop,microsoft,framework,matlab,dijsktra,neighbor,lý_thuyết_đồ_thị,insert,vertex,liên_thông,trạng_thái,algorithms","search,graph,bfs,dfs",vét_cạn,,backtracking,,,,,,,
loop,Other,"algorithm,thuật_giải,giải_thuật,search,backtracking,algorithms","bfs,dfs",lặp,,loop,,,,,,,
euler,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,cây,toán_học,graph,tree,ctdl,node,xóa_đỉnh,theory,algorithms","đồ_thị,lý_thuyết_đồ_thị,euclidean,đồ_thị_vô_hướng,không_gian_vector",,,euler,"Trong lý thuyết đồ thị, một đường đi trong đồ thị G=(X,E) được gọi là đường đi Euler nếu nó đi qua tất cả các cạnh của đồ thị, mỗi cạnh đúng một lần. Đường đi Euler có đỉnh cuối cùng trùng với đỉnh xuất phát gọi là chu trình Euler. Khái niệm chu trình Euler xuất phát từ bài toán bảy cây cầu do Euler giải quyết vào khoảng năm 1737. Đường đi Euler có thể tìm thấy trong các bài toán vui vẽ một nét (vẽ một hình nào đó mà không nhấc bút khỏi mặt giấy, không tô lại cạnh nào hai lần).",,,,,,
graph,Object,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,euler,bộ_nhớ,nút_gốc,root,ctdl,node,leaf,tiền_tố,hậu_tố,đồ_thị_vô_hướng,theory,sort,bfs,dfs,đồ_thị,algorithms","halmiton,backtracking,cây,tree,insert,lý_thuyết_đồ_thị,vertex,liên_thông,trạng_thái","đồ_thị_vô_hướng,đồ_thị",,graph,,,,,,,
đồ_thị_vô_hướng,Object,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,graph,nút_gốc,root,dãy_fibonacci,xác_suất,đường_thẳng,dữ_liệu,dslk,dslk_đơn,mã_băm,dataset,cấu_trúc,ngăn_xếp,bảng_băm,matrix,bfs,dfs,insert,kĩ_thuật,leaf,trạng_thái,tiền_tố,hậu_tố,tuple,theory,algorithms","euler,cây,toán_học,tree,ctdl,node,xóa_đỉnh,lý_thuyết_đồ_thị,euclidean,không_gian_vector","graph,đồ_thị",đồ_thị,đồ thị,"Cho đồ thị G=(X, E). Nếu chúng ta không phân biệt thứ tự của cặp đỉnh liên kết với mỗi cạnh thì sẽ có được đồ thị vô hướng. Đồ thị vô hướng G=(X, E) được định nghĩa bởi: tập hợp X ≠ ∅ được gọi là tập các đỉnh của đồ thị; tập hợp E là tập các cạnh của đồ thị. mỗi cạnh e∈E được liên kết với một cặp đỉnh {i, j} ⊆ X không phân biệt thứ tự.",,,,,,
theory,Object,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,heuristic,euler,graph,đồ_thị_vô_hướng,đồ_thị,algorithms","lý_thuyết_trò_chơi,lý_thuyết_đồ_thị",,,theory,,,,,,,
embed,Other,"algorithm,thuật_giải,giải_thuật,thuật_toán,bộ_nhớ,cấu_trúc_dữ_liệu,trình_biên_dịch,lỗi_cú_pháp,compiler,algorithms","kernel,debug,thiết_kế",nhúng,,embed,"Hệ thống nhúng (tiếng Anh: embedded system) là một thuật ngữ để chỉ một hệ thống có khả năng tự trị được nhúng vào trong một môi trường hay một hệ thống mẹ. Đó là các hệ thống tích hợp cả phần cứng và phần mềm phục vụ các bài toán chuyên dụng trong nhiều lĩnh vực công nghiệp, tự động hoá điều khiển, quan trắc và truyền tin. Đặc điểm của các hệ thống nhúng là hoạt động ổn định và có tính năng tự động hoá cao.",,,,,,
